Rank,Ticker,Score,Verdict,Setup_Type,Regime,Trend_Note,Asset_Note,Structure,Prev_Label,Last_Label,Bars_Since_Flip,RSI,MRC_Zone,Stop_Dist_Pct,Room_To_Resist_Pct,RR_Ratio,Current_Price,Nearest_Support,Nearest_Resistance,ATH_Dist_Pct,Market_Cap_M,RET30,Held_QTY,SELL_ORDER,Earnings,s_structure,s_setup,s_fresh,s_stop,s_room,s_oversold,s_penalty
34,RDDT,67,B-WATCH,CONTINUATION,BEAR,against (1/3),trade only - binary catalyst,BULLISH,HL,HH,20.0,47.59,Near_Mean,6.2,5.3,0.9,154.36,144.8,162.5,-45.04,29698.33,-0.58,,,,37,12,5,5,2,6,0
35,AEHR,66,B-WATCH,TURN,BEAR,against (0/3),trade only - binary catalyst,MIXED,LH,HL,15.0,44.83,Near_Mean,3.9,22.0,5.6,84.25,80.95,102.79,-40.79,2751.57,-23.33,26,NO_SELL,,25,12,5,8,8,8,0
36,LITE,66,B-WATCH,CONTINUATION,BULL,confirmed (3/3),watchlist,BULLISH,HH,HL,31.0,53.23,Near_Mean,9.5,8.6,0.9,919.4,832.11,998.5,-14.93,82470.18,8.23,3,SELL,,40,12,2,2,4,6,0
37,COHR,64,B-WATCH,CONTINUATION,BEAR,against (0/3),watchlist,BULLISH,HH,HL,21.0,49.21,Near_Mean,8.4,6.1,0.7,289.93,265.49,307.49,-31.9,56777.64,-10.44,,,,40,12,2,2,2,6,0
38,SMCI,64,B-WATCH,CONTINUATION,BULL,confirmed (3/3),,BULLISH,HL,HH,40.0,54.73,Above_Mean,7.3,8.0,1.1,38.45,35.63,41.53,-68.56,24845.23,26.48,,,,37,12,2,5,4,4,0
39,STRC,64,B-WATCH,CONTINUATION,BULL,partial (2/3),no mkt cap - ETF/fund,BULLISH,HH,HL,34.0,62.8,OB,0.4,1.2,3.0,97.3505,96.99,98.53,-2.87,,5.07,,,,40,12,2,12,0,-2,0
40,BKR,62,B-WATCH,BREAKOUT,BEAR,against (1/3),,MIXED,LL,HH,18.0,28.58,Below_Mean,3.7,16.2,4.4,56.32,54.22,65.44,-43.75,55907.4,-8.43,,,,22,10,5,8,6,11,0
41,GOOG,61,B-WATCH,BREAKOUT,BULL,against (0/3),TIER 2,MIXED,LL,HH,3.0,49.46,Near_Mean,4.0,2.1,0.5,339.36,325.63,346.45,-15.1,4150350.58,-9.53,0,NO_SELL,,22,10,15,8,0,6,0
42,SITM,61,B-WATCH,BREAKOUT,BULL,against (0/3),trade only - customer concentration,MIXED,LL,HH,4.0,46.94,Near_Mean,6.7,12.3,1.8,574.525,536.11,645.0,-35.99,17276.56,5.78,,,,22,10,12,5,6,6,0
43,XLE,61,B-WATCH,CONTINUATION,BULL,partial (2/3),no mkt cap - ETF/fund,BULLISH,HL,HH,51.0,53.98,OB,0.9,3.5,3.9,63.94,63.38,66.17,-3.32,,11.55,,,,37,12,0,12,0,0,0
44,PL,60,B-WATCH,BREAKOUT,BEAR,against (1/3),,MIXED,LL,HH,9.0,24.94,OS,29.8,57.2,1.9,16.24,11.4,25.53,-68.3,5908.89,-27.25,,,,22,10,8,0,8,12,0
45,UPXI,60,B-WATCH,CONTINUATION,BULL,confirmed (3/3),micro-cap $79M | -99% from ATH,BULLISH,HL,HH,3.0,56.77,Above_Mean,10.2,2.7,0.3,1.0804,0.97,1.11,-99.43,79.36,27.86,,,EARNINGS SOON,37,12,15,2,0,2,-8
46,APP,58,B-WATCH,BREAKOUT,BULL,against (1/3),,MIXED,LL,HH,3.0,47.32,OS,8.1,2.7,0.3,326.56,300.09,335.45,-55.81,109283.48,-22.19,,,,22,10,15,2,0,9,0
47,AAPL,57,B-WATCH,CONTINUATION,BULL,confirmed (3/3),,BULLISH,HL,HH,20.0,62.15,OB,6.8,1.1,0.2,332.41,309.9,336.22,-3.36,4851251.54,7.54,,,,37,12,5,5,0,-2,0
48,MXL,57,B-WATCH,TURN,BEAR,partial (2/3),,MIXED,LH,HL,17.0,51.31,Near_Mean,6.9,9.7,1.4,69.51,64.71,76.24,-42.39,6304.08,-4.41,,,,25,12,5,5,4,6,0
49,TER,57,B-WATCH,TURN,BEAR,against (0/3),,MIXED,LH,HL,15.0,47.75,Near_Mean,7.8,9.0,1.2,353.835,326.37,385.68,-27.68,55318.83,-9.1,,,,25,12,5,5,4,6,0
50,NEE,56,B-WATCH,BREAKOUT,BEAR,against (1/3),watchlist,MIXED,LL,HH,33.0,29.26,OS,4.6,4.6,1.0,80.37,76.69,84.1,-18.22,167620.12,-7.14,5,NO_SELL,,22,10,2,8,2,12,0
51,CRWD,40,C-NEUTRAL,TURN,BULL,confirmed (3/3),,MIXED,LH,HL,14.0,63.92,OB,15.4,,,241.36,204.27,,-3.99,247136.91,14.27,,,,25,12,5,0,0,-2,0
52,IDR,39,C-NEUTRAL,WEAK,BEAR,against (1/3),micro-cap $443M,MIXED,HL,LH,5.0,36.15,Below_Mean,2.0,17.6,8.8,28.0,27.45,32.94,-48.34,443.13,-8.14,,,,13,0,0,10,6,10,0
53,LRCX,38,C-NEUTRAL,DOWNTREND,BEAR,against (1/3),,MIXED,HH,LL,11.0,36.03,Below_Mean,1.4,19.4,13.9,269.23,265.37,321.41,-36.83,336893.15,-15.27,1,NO_SELL,,10,0,0,12,6,10,0
54,META,37,D-WEAK,TURN,BULL,confirmed (3/3),TIER 2,MIXED,LH,HL,9.0,72.24,OB,17.4,1.3,0.1,673.31,556.1,681.87,-14.66,1715261.41,14.52,10,SELL,,25,12,8,0,0,-8,0
55,CFG,36,D-WEAK,WEAK,BEAR,against (1/3),,MIXED,HL,LH,20.0,34.2,Near_Mean,1.3,6.2,4.8,66.84,65.99,71.0,-10.24,28151.46,-9.28,,,,13,0,0,12,2,9,0
56,WDC,36,D-WEAK,DOWNTREND,BEAR,against (0/3),trade only - storage cyclical,MIXED,HH,LL,3.0,40.07,Below_Mean,3.3,17.7,5.4,421.045,407.35,495.49,-47.03,151935.55,-18.88,,,,10,0,0,10,6,10,0
57,MTSI,32,D-WEAK,DOWNTREND,BEAR,against (1/3),,MIXED,HH,LL,3.0,42.68,OS,6.4,13.7,2.1,251.75,235.63,286.18,-37.4,19226.38,-7.89,,,,10,0,0,5,6,11,0
58,MU,32,D-WEAK,DOWNTREND,BULL,against (1/3),trade only - memory cyclical,MIXED,HH,LL,8.0,46.77,Near_Mean,0.8,11.8,14.8,926.55,918.88,1035.5,-22.67,1046439.2,3.8,2,NO_SELL,,10,0,0,12,4,6,0
59,ALAB,31,D-WEAK,DOWNTREND,BEAR,confirmed (3/3),trade only - customer concentration,MIXED,HH,LL,3.0,43.77,Below_Mean,6.5,19.5,3.0,269.18,251.62,321.65,-43.45,46698.72,-25.57,,,,10,0,0,5,6,10,0
60,LUNR,30,D-WEAK,WEAK,BEAR,against (1/3),,MIXED,HL,LH,3.0,37.45,OS,18.6,15.6,0.8,13.87,11.29,16.03,-89.38,2225.47,-0.64,,,,13,0,0,0,6,11,0
61,MNST,30,D-WEAK,DOWNTREND,BEAR,against (1/3),,MIXED,HH,LL,11.0,44.16,Near_Mean,4.1,10.5,2.6,44.57,42.74,49.24,-11.09,87314.94,-5.35,,,,10,0,0,8,4,8,0
62,NET,30,D-WEAK,BREAKOUT,BULL,partial (1/3),watchlist,MIXED,LL,HH,75.0,59.88,OB,14.9,3.8,0.3,320.1,272.29,332.22,-3.24,113981.12,7.74,,,,22,10,0,0,0,-2,0
63,AMAT,29,D-WEAK,WEAK,BEAR,against (1/3),,BEARISH,LL,LH,51.0,33.03,OS,4.6,14.1,3.1,415.38,396.45,474.04,-42.52,329644.51,-23.93,,,,3,0,0,8,6,12,0
64,COPX,29,D-WEAK,WEAK,BEAR,against (0/3),no mkt cap - ETF/fund,MIXED,HL,LH,5.0,40.76,Near_Mean,11.1,14.6,1.3,84.19,74.85,96.5,-13.55,,0.24,,,,13,0,0,2,6,8,0
65,ABTC,28,D-WEAK,WEAK,BULL,confirmed (3/3),small-cap $992M | -100% from ATH,MIXED,HL,LH,31.0,51.28,Near_Mean,6.0,8.8,1.5,8.14,7.65,8.86,-100.0,991.61,32.57,,,,13,0,0,5,4,6,0
