Rank,Ticker,Score,Verdict,Setup_Type,Regime,Trend_Note,Asset_Note,Structure,Prev_Label,Last_Label,Bars_Since_Flip,RSI,MRC_Zone,Stop_Dist_Pct,Room_To_Resist_Pct,RR_Ratio,Current_Price,Nearest_Support,Nearest_Resistance,ATH_Dist_Pct,Market_Cap_M,RET30,Held_QTY,SELL_ORDER,Earnings,s_structure,s_setup,s_fresh,s_stop,s_room,s_oversold,s_penalty
106,AMZN,15,E-AVOID,WEAK,BEAR,against (0/3),,BEARISH,LL,LH,11.0,39.45,Near_Mean,8.1,4.7,0.6,245.96,226.16,257.59,-12.49,2653001.61,-11.34,1,NO_SELL,,3,0,0,2,2,8,0
107,GEV,15,E-AVOID,DOWNTREND,BEAR,against (0/3),watchlist,BEARISH,LH,LL,18.0,46.21,Below_Mean,5.5,6.3,1.1,925.09,874.0,983.34,-19.68,246382.54,-9.17,0,NO_SELL,,0,0,0,5,2,8,0
108,MSFT,15,E-AVOID,WEAK,BEAR,partial (1/3),,BEARISH,LL,LH,6.0,51.85,OB,0.9,4.0,4.4,490.3,486.0,509.95,-10.87,3640745.0,-0.32,9,SELL,,3,0,0,12,0,0,0
109,SPY,15,E-AVOID,WEAK,BEAR,against (0/3),no mkt cap - ETF/fund,BEARISH,LL,LH,21.0,49.67,Above_Mean,4.3,0.6,0.1,762.125,729.1,766.38,-2.24,,-0.98,12,NO_SELL,,3,0,0,8,0,4,0
110,UMAC,15,E-AVOID,WEAK,BEAR,against (0/3),"small-cap $1,135M",BEARISH,LL,LH,11.0,45.78,Near_Mean,24.4,15.4,0.6,22.71,17.16,26.2,-34.38,1134.51,-11.99,,,,3,0,0,0,6,6,0
111,ARKB,14,E-AVOID,DOWNTREND,BEAR,partial (2/3),no mkt cap - ETF/fund,BEARISH,LH,LL,2.0,53.58,OB,1.3,5.2,4.0,25.16,24.83,26.48,-39.8,,18.18,3873,NO_SELL,,0,0,0,12,2,0,0
112,BABA,14,E-AVOID,WEAK,BEAR,against (0/3),,BEARISH,LL,LH,25.0,33.73,Below_Mean,12.7,3.7,0.3,107.27,93.61,111.25,-66.24,266632.82,-16.84,,,,3,0,0,0,0,11,0
113,HODL,14,E-AVOID,DOWNTREND,BEAR,partial (2/3),no mkt cap - ETF/fund,BEARISH,LH,LL,2.0,53.84,OB,1.3,5.1,3.9,21.48,21.2,22.57,-39.74,,18.28,407,NO_SELL,,0,0,0,12,2,0,0
114,IBIT,14,E-AVOID,DOWNTREND,BEAR,partial (2/3),no mkt cap - ETF/fund,BEARISH,LH,LL,2.0,53.85,OB,1.6,5.1,3.2,43.04,42.37,45.22,-39.91,,18.27,513,NO_SELL,,0,0,0,12,2,0,0
115,QUBT,13,E-AVOID,DOWNTREND,BEAR,against (0/3),"AVOID: quantum | small-cap $1,867M | -100% from ATH",BEARISH,LH,LL,21.0,50.37,Near_Mean,5.5,4.2,0.8,8.25,7.8,8.6,-99.84,1867.36,-7.09,,,,0,0,0,5,2,6,0
116,RKLB,13,E-AVOID,DOWNTREND,BEAR,against (1/3),,BEARISH,LH,LL,19.0,45.75,Below_Mean,6.7,2.7,0.4,65.89,61.45,67.7,-56.19,42130.79,-12.03,,,,0,0,0,5,0,8,0
117,SLV,11,E-AVOID,WEAK,BEAR,against (0/3),no mkt cap - ETF/fund,BEARISH,LL,LH,13.0,51.3,Near_Mean,13.2,4.6,0.3,58.985,51.19,61.71,-46.14,,5.21,,,,3,0,0,0,2,6,0
118,PLTR,6,E-AVOID,WEAK,BEAR,partial (1/3),trade only - ~92x fwd,BEARISH,LL,LH,10.0,55.1,OB,6.0,0.9,0.1,175.045,164.55,176.59,-16.07,420295.15,10.56,16,SELL,,3,0,0,5,0,-2,0
119,PANW,4,E-AVOID,DOWNTREND,BEAR,partial (1/3),,BEARISH,LH,LL,16.0,53.78,OB,10.1,6.1,0.6,365.0,328.0,387.33,-9.21,298569.99,0.52,,,,0,0,0,2,2,0,0
120,DELL,-2,E-AVOID,DOWNTREND,BULL,confirmed (3/3),,BEARISH,LH,LL,31.0,63.28,OB,24.7,,,563.29,424.0,,-1.14,358146.93,20.55,,,,0,0,0,0,0,-2,0
121,TEM,-4,E-AVOID,DOWNTREND,BULL,partial (2/3),,BEARISH,LH,LL,0.0,66.62,OB,21.5,3.8,0.2,73.52,57.72,76.33,-28.85,13265.56,56.96,,,,0,0,0,0,0,-4,0
